凌寒	Ling Han
巅峰	peak
不灭天经	Undying Heavenly Scripture
龙抬头	Longtaitou Festival
好马不吃回头草	a good man doesn't backtrack
小菜一碟	a piece of cake
太阳从西边出来	hell freezes over
说曹操，曹操到	speak of the devil
乌鸦嘴	jinx
二百五	halfwit, pea-brain
吃一堑，长一智	a fall in the pit, a gain in your wit
睁着眼睛说瞎话	to flout reality, to tell bald-faced lies, to lie through one's teeth
近朱者赤，近墨者黑	one is marked by the company one keeps
物以稀为贵	that which is rare is dear
王婆卖瓜，自卖自夸	every potter praises his own pot
站着说话不腰疼	talk is cheap, to be an armchair quarterback
天下没有不散的筵席	all good things must come to an end
天上掉馅饼	to have something fall into your lap
巧己所不欲，勿施于人	do unto others as you would have them do unto you
睁眼瞎	a bad judge of character
跳进黄河洗不清	to be unable to clear one's name
拍马屁	to suck up to, curry favor, ingratiate
情人眼里出西施	love is blind, beauty is in the eye of the beholder
打酱油	I couldn't care less, that's above my pay grade
不怕一万，就怕万一	one can never be too careful
走着瞧	wait and see
不管三七二十一	to act recklessly, to throw caution to the wind
吃着碗里的，看着锅里的	to be unsatisfied with what one has
钻牛角尖	to split hairs, to go down a dead end
人不可貌相，海水不可斗量	you can't judge a book by its cover
林子大了，什么鸟都有	there are all kinds of fish in the sea
鸡毛蒜皮	trivial, trivalities
鲜花插在牛粪上	a beautiful woman is married to an old/ugly man
醉翁之意不在酒	to have an ulterior motive
猴年马月	god know when, it'll be a cold day in hell when
眼不见为净	what somebody doesn't know/see can't hurt them
姜是老的竦	with experience comes wisdom
得青山在，不怕没柴烧	where's there's life there's hope
拿得起，放得下	to be able to go with the flow
以其人之道还治其人之身	to give someone a taste of their own medicine, to pay back in one's own coin
走桃花运	lucky in love
成事不足，败事有余	incompetent, everything one touches turns to dust
皇上不急太监急	the person involved is calm and collected but observers are very worried
三个臭皮匠，顶个诸葛亮	two heads are better than one
脚踩两只船	to have a foot in both camps
此地无银三白两	telltale sign, methinks the lady doth protest too much
吃不到葡萄就说葡萄酸	sour grapes
心急吃不了热豆腐	more haste less speed
家常便饭	run of the mill, par for the course
癞蛤蟆想吃天鹅肉	to be out of one's league, to want to punch above one's weight
天无绝人之路	there is always a way out
走后门	get in through the back door
瞎猫碰上死耗子	even a broken clock is right twice a day
好汉不吃眼前亏	discretion is the better part of valor, you have to know when to hold'em and when to fold'em
解铃还须系铃人	he that hides can find
肥水不流外人田	one does not allow benefits created by one's own work to accrue to others
心有余而力不足	run out of steam
不分青红皂白	indiscriminate
睁一只眼，闭一只眼	to turn a blind eye
破罐子破摔	a vicious cycle
种瓜得瓜，种豆得豆	you reap what you sow
萝卜白菜，各有所爱	different strokes for different folks
狗嘴里吐不出象牙	what can you expect from a hog but a grunt
三天打鱼，两天晒网	to blow hot and cold, lack perserverance and continuity
一朝被蛇咬，十年怕井绳	once bitten twice shy
英雄难过美人关	no man can resist the charms of a beautiful woman
刀子嘴，豆腐心	to be a softie at hear, someone's bark is worse than their bite
一失足成千古恨	one false step brings everlasting grief
哪壶不开提哪壶	rub someone's nose in it
炒鱿鱼	to can someone, to give someone a pink slip
人往高处走，水往低处流	it is in man's nature to strive for better
说得比唱得好听	to speak eloquently but untruthfully
强扭的瓜不甜	you can lead a horse to water but you can't make him drink
老掉牙	tired old
搬起石头砸自己的脚	to shoot oneself in the foot
卖关子	to leave someone hanging
一分钱一分货	you get what you pay for
九牛二虎之力	a Herculean effort
敬酒不吃吃罚酒	to acquiesce to something after having refused someone's first overture
躲得过初一，躲不过十五	you can't avoid something forever, you can't keep something up forever
吃香的，喝辣的	to live in the lap of luxury
小儿科	child's play, easy
一个巴掌拍不响	it takes two to tango
牛头不对马嘴	incongrous, neither here not there
以小人之心，度君子之腹	to project one's shortcomings on someone
车到山前必有路	we'll cross that bridge when we come to it
鸡蛋里挑骨头	to nitpick, to find quarrel in a straw
吃不了兜着走	to be unable to bear the consequences of failure
打肿脸充胖子	to puff oneself up at one's own cost
三十六计走为上	to get out while the going's good
当耳旁风	to roll off like water off a duck's back
恨铁不成钢	expect better from someone
你走你的阳关道，我过我的独木桥	let's go our separate ways
过了这个村，就没这个店	it's now or never, opportunity seldom knocks twice
抱佛脚	to cram, fair weather atheists turn to god in a pinch
有钱能使鬼推磨	money talks
有其父必有其子	like father like son, the apple doesn't fall far from the tree
不见棺材不落泪	to hold out hope until faced with the grim reality
三长两短	god forbid anything should happen to someone
纸包不住火	the truth always comes out, there is no concealing the truth
好戏在后头	the best is yet to come, you ain't seen nothing yet
吹牛皮	brag, to blow smoke
欲速则不达	more haste less speed
家家有本难念的经	we all have our burdens to bear, every family has its hardships
墙头草	fence sitter
替罪羊	sacrificial lamb, scapegoat
近水楼台先得月	to enjoy the benefits of a favorable position
小巫见大巫	to pale in comparison with, doesn't hold a candle to
过河拆桥	to kick someone to the curb when they've outlived their usefulness.
一不做，二不休	in for a penny in for a pound
以牙还牙，以眼还眼跑了	an eye for an eye and a tooth for a tooth
和尚跑不了庙	you can run but you can't hide
绿帽子	cuckold
识时务者为俊杰	he who understands the times is a wise man
井水不犯河水	to stay in one's own lane,mine one's own business
一棵树上吊死	to be inflexible and stubborn
放鸽子	to stand someone up, to leave someone in the lurch
一步一个脚印	to take something one step at a time
上梁不正下梁歪	a crooked stick will have a crooked shadow
不入虎穴，焉得虎子	nothing good comes without risk
赔了夫人又折兵	to suffer a double loss
有心栽花花不长，无心插柳柳成荫	to unknowingly benefit from an unexpected course of events
八字还没一撇	it hasn't even begun
有眼不识泰山	to entertain angels unawares, to fail to recognize a formidable/famous person
出气筒	punching bag
八九不离十	close to the mark, not far off
无风不起浪	there's no smoke without fire
得便宜卖乖	to not admit that one has received a benefit
不是省油的灯	a real piece of work
家丑不可外扬	don't wash dirty linen in public
背黑锅	to take the rap, to take the blame, be left holding the bag
兔子不吃寓边草	even a villain doesn't harm the next door neighbors
铁饭碗	a cradle-to-grave job
冰冻三尺，非一日之寒	Rome wasn't built in a day
远亲不如近邻	better a close neighbor than a distant brother
下马威	opening gambit, take someone a notch down, establishing an imposing air or advantageous position for oneself
天下乌鸦一般黑	they're all the same
不到黄河心不死	it's not over 'til it's over
狗急了跳墙	despair fives courage even to a coward
狗眼看人低	to have one's nose in the air, to be stuck-up
只许州官放火，不许百姓点灯	one may steal a horse while another may not look over a hedge
偷鸡摸狗	to pilfer, to philander
死马当活马医	to make a Hail Mary effort
新官上任三把火	to make drastic changes to an organization upon taking charge
对号入座	to make a connection
十万八千里	worlds apart
露马脚	to let the cat out of the bag
